gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,D1_B7C2_Il8,D1_B7C2_no,D2_B7C2_Il8,D2_B7C2_no,D3_B7C2_Il8,D3_B7C2_no
ENSG00000132128,LRRC41,10489,leucine rich repeat containing 41,1446.149563206734,0.8658336514933577,0.18751049369535883,4.617521048715517,3.883513011856162e-6,0.04996139489752953,1904,1306,2101,751,1614,1070
ENSG00000102974,CTCF,10664,CCCTC-binding factor,561.307422235724,-0.7889048865848957,0.19602600581335058,-4.024490951144842,5.709868943428862e-5,0.3087402559585339,290,876,498,627,463,662
ENSG00000137274,BPHL,670,biphenyl hydrolase like,144.131906494614,1.0927048748055246,0.28014475502075664,3.900500920406535,9.599386116083447e-5,0.3087402559585339,196,121,166,85,222,75
ENSG00000168028,RPSA,3921,ribosomal protein SA,3787.3774840728943,0.450811321017546,0.11452086233253926,3.93649953236036,8.267878133979856e-5,0.3087402559585339,4342,4034,4667,2868,4127,2856
ENSG00000220842,RPL21P16,729402,ribosomal protein L21 pseudogene 16,3388.88652794079,0.4354559876219571,0.11477467801330699,3.7940074863156688,1.4823520130759815e-4,0.38140917296445004,3564,3056,4317,3045,3859,2580
ENSG00000135392,DNAJC14,85406,DnaJ heat shock protein family (Hsp40) member C14,158.39056051681305,1.2487204763067699,0.3423028140182354,3.647999447180259,2.6429020685131107e-4,0.48572764444887384,234,84,197,127,232,69
ENSG00000163320,CGGBP1,8545,CGG triplet repeat binding protein 1,1360.9878879497126,-0.48831900359854336,0.13251401973039473,-3.685036531168918,2.2866983967856906e-4,0.48572764444887384,1064,1592,1303,1556,1050,1623
ENSG00000062650,WAPL,23063,WAPL cohesin release factor,231.70146182954582,0.7377519144184969,0.20907778067933852,3.5286002750812773,4.1776363824444523e-4,0.5971699117794208,264,203,376,177,240,147
ENSG00000242114,MTFP1,51537,mitochondrial fission process 1,363.0090338190451,-0.6456711691310538,0.18294301877207272,-3.5293567005991657,4.165712378557641e-4,0.5971699117794208,236,456,296,421,320,455
ENSG00000000419,DPM1,8813,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",1531.3996230205435,0.05004266589729668,0.10667564012228989,0.46911052832614086,0.6389906339482483,0.9999578066363455,1482,1654,1637,1387,1560,1503
ENSG00000000457,SCYL3,57147,SCY1 like pseudokinase 3,699.6944069528181,0.10115816395973397,0.13442904478365464,0.7525022893864518,0.45174905360754347,0.9999578066363455,732,774,732,614,705,656
ENSG00000000460,FIRRM,55732,FIGNL1 interacting regulator of recombination and mitosis,839.0868649394404,0.002697858717174946,0.12609954066970205,0.021394675213302825,0.9829308211591045,0.9999578066363455,747,1039,1012,789,784,725
ENSG00000000938,FGR,2268,"FGR proto-oncogene, Src family tyrosine kinase",18.87359299647701,0.17606349868333998,0.656707479462103,0.26810034024212787,0.7886220839411526,0.9999578066363455,16,16,27,28,18,9
ENSG00000000971,CFH,3075,complement factor H,22.36183093157497,-0.5220412966493341,0.8226609287309811,-0.6345765046294634,0.5257046558572458,0.9999578066363455,10,19,39,45,9,14
ENSG00000001084,GCLC,2729,glutamate-cysteine ligase catalytic subunit,783.4139656636366,-0.04337886456089042,0.10746591579603704,-0.4036523044499108,0.6864684174429097,0.9999578066363455,724,922,878,714,725,774
ENSG00000001167,NFYA,4800,nuclear transcription factor Y subunit alpha,371.3171831158784,0.09328196117992354,0.1340971215167328,0.6956298548756223,0.48666066444274264,0.9999578066363455,338,427,449,333,372,331
ENSG00000001460,STPG1,90529,sperm tail PG-rich repeat containing 1,396.1753121127999,-0.05181210477110797,0.2706329746793034,-0.1914478634117097,0.8481747239078619,0.9999578066363455,433,436,282,395,433,385
ENSG00000001461,NIPAL3,57185,NIPA like domain containing 3,3702.033210099349,-0.0681733059229604,0.0838212541148442,-0.8133176560393094,0.4160359566767765,0.9999578066363455,3459,4529,3978,3441,3442,3539
ENSG00000001497,LAS1L,81887,LAS1 like ribosome biogenesis factor,2078.1142102400345,-0.027041828990625596,0.14984067364127704,-0.18047055137622062,0.8567831713966827,0.9999578066363455,2163,2713,2131,1805,1872,1890
ENSG00000001561,ENPP4,22875,ectonucleotide pyrophosphatase/phosphodiesterase 4,743.8645185712671,0.09173965220705751,0.15529602756888616,0.5907404950610451,0.5546943105462367,0.9999578066363455,795,918,777,623,726,656
ENSG00000001629,ANKIB1,54467,ankyrin repeat and IBR domain containing 1,2903.563298224324,0.012547749081635208,0.09659962191906021,0.12989439122389973,0.8966499818485669,0.9999578066363455,2757,3561,3135,2575,2878,2663
ENSG00000001630,CYP51A1,1595,cytochrome P450 family 51 subfamily A member 1,157.86546948651005,0.1269077994479745,0.6665893290747297,0.19038378490716462,0.8490084030657644,0.9999578066363455,182,386,168,54,143,56
ENSG00000001631,KRIT1,889,KRIT1 ankyrin repeat containing,801.5386174909221,0.0558452581625084,0.14437767152128458,0.38679982558297127,0.698904406357085,0.9999578066363455,796,836,973,793,698,740
ENSG00000002016,RAD52,5893,"RAD52 homolog, DNA repair protein",172.14257788825196,0.17717324352275413,0.229799993325929,0.7709888975996031,0.4407135123766659,0.9999578066363455,164,183,205,183,182,123
ENSG00000002330,BAD,572,BCL2 associated agonist of cell death,1027.4911340013978,0.007811644480715186,0.11908122228590641,0.06559929710798505,0.9476968487363661,0.9999578066363455,909,1135,1092,947,1099,1014
ENSG00000002549,LAP3,51056,leucine aminopeptidase 3,13390.10997179613,-0.05127267454004472,0.34523547702762103,-0.14851508014613046,0.8819362856926727,0.9999578066363455,13550,17669,8982,7427,16260,16551
ENSG00000002586,CD99,4267,CD99 molecule (Xg blood group),2782.0733369825293,-0.0023423019023431388,0.21675712067377734,-0.010806112828322433,0.9913781372111149,0.9999578066363455,2077,2429,3207,2709,3139,3154
ENSG00000002587,HS3ST1,9957,heparan sulfate-glucosamine 3-sulfotransferase 1,117.29375363710821,-0.13885660689335397,0.5684829638248218,-0.24425816731447855,0.8070308799784014,0.9999578066363455,121,124,53,60,152,185
ENSG00000002822,MAD1L1,8379,mitotic arrest deficient 1 like 1,1485.2153987844758,-0.032975331331384486,0.1777198455754985,-0.18554670259026299,0.8528002527840333,0.9999578066363455,1178,1400,1810,1612,1470,1479
ENSG00000002834,LASP1,3927,LIM and SH3 protein 1,751.6590690653277,-0.14347313242372245,0.18597436705257725,-0.7714672441023059,0.440430030655414,0.9999578066363455,573,817,852,898,740,659
ENSG00000002919,SNX11,29916,sorting nexin 11,808.2365203979159,-0.1514378272191289,0.17377151960522969,-0.871476681352399,0.38349393274217203,0.9999578066363455,653,976,788,691,862,909
ENSG00000003056,M6PR,4074,"mannose-6-phosphate receptor, cation dependent",4997.366599021918,-0.030804906040047788,0.06918658548893229,-0.4452439128532455,0.6561434954132173,0.9999578066363455,4493,5733,5680,4824,4752,4729
ENSG00000003147,ICA1,3382,islet cell autoantigen 1,65.89132892588717,0.031194119693965846,0.35089039838150116,0.08889989534581232,0.9291614667261257,0.9999578066363455,52,90,70,46,79,64
ENSG00000003393,ALS2,57679,alsin Rho guanine nucleotide exchange factor ALS2,164.8575218519311,-0.0776695709573255,0.322833591429205,-0.2405870176442214,0.8098752131009801,0.9999578066363455,165,242,142,105,171,174
ENSG00000003400,CASP10,843,caspase 10,478.07915393242547,-0.249673569140913,0.1503585185437704,-1.6605216090116723,0.09680956444208566,0.9999578066363455,427,542,459,483,425,538
ENSG00000003402,CFLAR,8837,CASP8 and FADD like apoptosis regulator,11477.939775771618,0.019401104901333985,0.15019795471224362,0.12917023363269856,0.8972229489795251,0.9999578066363455,10791,13546,11326,9202,12492,11865
ENSG00000003436,TFPI,7035,tissue factor pathway inhibitor,122.16679685613948,0.1759433216896377,0.2396518901388219,0.7341620447379735,0.4628499829259437,0.9999578066363455,136,148,137,102,116,100
ENSG00000003509,NDUFAF7,55471,NADH:ubiquinone oxidoreductase complex assembly factor 7,473.82311573597303,0.00994675682643068,0.1422212264556769,0.06993862360996146,0.9442425111851119,0.9999578066363455,419,515,589,459,433,452
ENSG00000003756,RBM5,10181,RNA binding motif protein 5,2080.9374308869546,-0.08380380303106816,0.09985751403625692,-0.8392338207081754,0.4013381119925805,0.9999578066363455,1875,2581,2370,2033,1859,1894
ENSG00000004059,ARF5,381,ADP ribosylation factor 5,789.8742819736378,0.028236700578533683,0.14384545981481706,0.19629886556645504,0.8443762492648191,0.9999578066363455,700,842,877,839,827,678
ENSG00000004139,SARM1,23098,sterile alpha and TIR motif containing 1,1502.5487494644083,0.052999611527571475,0.155543419065517,0.3407383728992566,0.7333005480981398,0.9999578066363455,1585,1889,1478,1270,1508,1343
ENSG00000004142,POLDIP2,26073,DNA polymerase delta interacting protein 2,3992.8544917794898,-0.03514093741715014,0.1526388579891466,-0.23022274851957317,0.8179186858168065,0.9999578066363455,3980,5159,3845,3275,3967,3901
ENSG00000004399,PLXND1,23129,plexin D1,65.84459260513447,0.32966799466191704,0.4682648860591301,0.7040203194315284,0.48142011963709497,0.9999578066363455,43,39,103,74,79,59
ENSG00000004455,AK2,204,adenylate kinase 2,12679.523312143536,-0.012955174970689915,0.11935943046971402,-0.1085391821970626,0.9135680011880201,0.9999578066363455,12271,15686,12921,10715,12655,12369
ENSG00000004468,CD38,952,CD38 molecule,2712.2220201632304,-0.08298404843683485,0.08783825055466456,-0.9447370355491224,0.3447931442193272,0.9999578066363455,2290,3139,3068,2723,2606,2578
ENSG00000004478,FKBP4,2288,FKBP prolyl isomerase 4,6712.650620096156,-0.03218250479673766,0.2191703497107811,-0.1468378584932038,0.8832600017936778,0.9999578066363455,6782,8717,5683,4887,7269,7123
ENSG00000004487,KDM1A,23028,lysine demethylase 1A,4065.020256727952,-0.0768050982805856,0.08512658830143152,-0.9022457003518137,0.3669263631264963,0.9999578066363455,3834,4796,4431,3933,3650,3911
ENSG00000004534,RBM6,10180,RNA binding motif protein 6,2355.6504527941693,-0.11223680369215092,0.14652068137921792,-0.7660133889335725,0.44366833561506835,0.9999578066363455,2283,3256,2346,2098,2159,2139
ENSG00000004660,CAMKK1,84254,calcium/calmodulin dependent protein kinase kinase 1,95.46647797866835,-0.0428213541254146,0.4469305401943961,-0.09581210115287513,0.9236698062484434,0.9999578066363455,56,79,166,101,71,108
ENSG00000004700,RECQL,5965,RecQ like helicase,5164.340714387914,0.08147877742263801,0.0871069388329819,0.9353879095540795,0.34958842546313385,0.9999578066363455,4672,5447,6032,4776,5327,4920
ENSG00000004766,VPS50,55610,VPS50 subunit of EARP/GARPII complex,407.27869570519454,0.05644359056314069,0.17808658128128455,0.31694465780096626,0.751285595492855,0.9999578066363455,406,532,426,326,414,364
ENSG00000004776,HSPB6,126393,heat shock protein family B (small) member 6,37.42905189797496,-0.3836343576036195,0.6294092568958035,-0.6095149593059271,0.5421831602878915,0.9999578066363455,45,81,27,19,24,34
ENSG00000004777,ARHGAP33,115703,Rho GTPase activating protein 33,172.6446429440901,0.15105138107547658,0.28600986066802386,0.5281334731700188,0.5974066995694343,0.9999578066363455,123,223,229,157,202,122
ENSG00000004779,NDUFAB1,4706,NADH:ubiquinone oxidoreductase subunit AB1,1593.67100654124,-0.0068912089044903474,0.15621852939251823,-0.04411262179517347,0.9648146318415488,0.9999578066363455,1596,2110,1637,1282,1533,1496
ENSG00000004838,ZMYND10,51364,zinc finger MYND-type containing 10,11.98882704676686,-0.8042850960612173,0.8175006143070664,-0.983834240593139,0.325197020771508,0.9999578066363455,5,11,6,21,15,13
ENSG00000004864,SLC25A13,10165,solute carrier family 25 member 13,300.654397929108,0.00838866492249003,0.27387721134365245,0.030629291430765294,0.9755651819204423,0.9999578066363455,337,457,309,237,256,234
ENSG00000004866,ST7,7982,suppression of tumorigenicity 7,254.26924279929128,0.04470180556456862,0.23504572407416557,0.19018344511752766,0.8491653832514918,0.9999578066363455,220,242,249,235,305,273
ENSG00000004897,CDC27,996,cell division cycle 27,4569.588825788734,0.10537419897185182,0.1010437324355241,1.0428573493075486,0.29701436557986965,0.9999578066363455,4630,5392,5316,4024,4316,3980
ENSG00000004961,HCCS,3052,holocytochrome c synthase,787.9109616678589,0.048446327235793486,0.21079098287591777,0.2298311178913732,0.8182230033175937,0.9999578066363455,841,968,724,582,821,810
ENSG00000004975,DVL2,1856,dishevelled segment polarity protein 2,361.7992311826648,-0.18258346936432343,0.2366227771717588,-0.7716225443157168,0.440338017828584,0.9999578066363455,298,503,349,410,372,263
ENSG00000005007,UPF1,5976,UPF1 RNA helicase and ATPase,6271.934599323895,-0.029765671869449332,0.12138843398405358,-0.2452101151033842,0.806293744719539,0.9999578066363455,5550,7164,6412,5525,6689,6482
ENSG00000005020,SKAP2,8935,src kinase associated phosphoprotein 2,953.877792165239,-0.07859828408535685,0.17022930187888088,-0.46172006357213385,0.6442820811853187,0.9999578066363455,752,971,1031,914,1019,1055
ENSG00000005022,SLC25A5,292,solute carrier family 25 member 5,8798.842986629383,0.032911010124377846,0.09791626143132388,0.336113834855315,0.7367850260277788,0.9999578066363455,8815,10528,9629,8105,8297,7811
ENSG00000005059,MCUB,55013,mitochondrial calcium uniporter dominant negative subunit beta,1416.6206498417673,0.02131645170649693,0.1554978138970314,0.13708521793504058,0.8909634365357706,0.9999578066363455,1248,1612,1783,1508,1299,1139
ENSG00000005075,POLR2J,5439,RNA polymerase II subunit J,1075.8245028035346,-0.10582522239719379,0.1902699594550876,-0.5561846058109524,0.5780846618177478,0.9999578066363455,814,1071,1233,1004,1095,1265
ENSG00000005100,DHX33,56919,DEAH-box helicase 33,1761.300073297394,0.08320992739286878,0.14085101251716042,0.5907655607568387,0.5546775133112751,0.9999578066363455,1644,2093,1996,1347,1820,1764
ENSG00000005102,MEOX1,4222,mesenchyme homeobox 1,170.48128977929554,0.0048826520942763475,0.5967028296683199,0.008182719859046743,0.9934712070171341,0.9999578066363455,87,93,320,295,129,109
ENSG00000005156,LIG3,3980,DNA ligase 3,1887.4545434937954,0.026918589973744068,0.11432685022945585,0.23545291346449254,0.8138572211764921,0.9999578066363455,1766,2170,2313,1831,1686,1667
ENSG00000005175,RPAP3,79657,RNA polymerase II associated protein 3,2848.90313816399,-0.005090336945501689,0.13927827079322586,-0.03654796197935902,0.9708454361042199,0.9999578066363455,2771,3375,2827,2361,2918,2925
ENSG00000005187,ACSM3,6296,acyl-CoA synthetase medium chain family member 3,163.70179644289152,0.5279462063647214,0.4780936056652086,1.104273724033914,0.26947441743006884,0.9999578066363455,107,86,300,105,191,203
ENSG00000005189,REXO5,81691,RNA exonuclease 5,107.15296311540263,0.4354250235923641,0.29501610315689725,1.475936462223534,0.13996094993926156,0.9999578066363455,126,129,138,87,107,64
ENSG00000005194,CIAPIN1,57019,cytokine induced apoptosis inhibitor 1,935.826098560732,-0.021794932599016666,0.1838130619879507,-0.1185711851122167,0.9056150952182485,0.9999578066363455,995,1236,908,752,871,895
