gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,D1_B7C2_no,D1_B7_no,D2_B7C2_no,D2_B7_no,D3_B7C2_no,D3_B7_no
ENSG00000253755,NA,NA,NA,2892.821472455132,-1.1441514923780138,0.1744006914874533,-6.560475664514932,5.3636407862436325e-11,6.476059885310562e-7,2350,5289,1531,3734,1453,3485
ENSG00000089127,OAS1,4938,2'-5'-oligoadenylate synthetase 1,1617.1693832862716,1.3813648357514319,0.2476749214745119,5.57733026633295,2.4423790003247875e-8,5.8978568099842976e-5,2819,1262,2095,1015,1963,559
ENSG00000133106,EPSTI1,94240,epithelial stromal interaction 1,1826.263208597775,0.5686194338239842,0.10057079684171406,5.6539219304279795,1.5682746515758974e-8,5.8978568099842976e-5,2400,1726,1898,1483,2079,1381
ENSG00000147434,CHRNA6,8973,cholinergic receptor nicotinic alpha 6 subunit,2427.2653988868456,-0.5510593399406949,0.09857957576079385,-5.589995043982094,2.2707609335412184e-8,5.8978568099842976e-5,2211,3266,1848,3068,1705,2661
ENSG00000181381,DDX60L,91351,DExD/H-box 60 like,387.62294082710144,2.544630952081364,0.4468411036125973,5.694711009145458,1.2358106237451197e-8,5.8978568099842976e-5,696,181,775,140,458,41
ENSG00000099985,OSM,5008,oncostatin M,1734.2193910450762,1.4487450140867475,0.26604290349077897,5.445531510435349,5.1650918271143416e-8,1.0393886453429759e-4,3338,1256,1489,777,2692,885
ENSG00000115758,ODC1,4953,ornithine decarboxylase 1,1077.0108725976688,0.5345876159109973,0.10463979697875299,5.108836516756095,3.2414866661213814e-7,4.892213750843695e-4,1456,974,1159,900,1119,864
ENSG00000116299,ELAPOR1,57535,endosome-lysosome associated apoptosis and autophagy regulator 1,863.8140941904185,-0.930397311609677,0.18193818582740787,-5.113809986498823,3.157249583435256e-7,4.892213750843695e-4,523,1259,572,1227,620,1043
ENSG00000102245,CD40LG,959,CD40 ligand,2143.602100283927,0.5547751262121158,0.10980468036439416,5.0523814137162235,4.363352657222271e-7,5.853679998144634e-4,2757,1959,2189,1844,2501,1609
ENSG00000169248,CXCL11,6373,C-X-C motif chemokine ligand 11,695.7994693481048,2.2746600527640544,0.4626730659723268,4.9163442181008765,8.817530248845237e-7,0.001064628602245574,1902,328,373,165,1211,254
ENSG00000167889,MGAT5B,146664,"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B",42.722601608531264,-2.1600817374074417,0.444844711139079,-4.855810765685602,1.1989515936414368e-6,0.00131601286742061,12,78,18,70,15,69
ENSG00000196421,C20orf204,284739,chromosome 20 open reading frame 204,1444.047200547329,-0.6275597361729496,0.1332324398877511,-4.710262280730364,2.4739820882865006e-6,0.0024892383111642675,1105,2002,1148,1764,1039,1696
ENSG00000105726,ATP13A1,57130,ATPase 13A1,741.4433922031982,0.6170527868461,0.133964466104803,4.606092979636612,4.103049853015677e-6,0.0038107864557931754,904,651,830,616,875,555
ENSG00000072210,ALDH3A2,224,aldehyde dehydrogenase 3 family member A2,431.2149282994468,0.8546904755163716,0.18633911363442057,4.586747563869989,4.502044840843796e-6,0.0038472095327872677,699,358,520,324,420,277
ENSG00000198910,L1CAM,3897,L1 cell adhesion molecule,1220.7568421439764,-0.8727574666915825,0.19079839301425702,-4.574239085055436,4.7795380977148435e-6,0.0038472095327872677,793,1671,982,1697,718,1538
ENSG00000111186,WNT5B,81029,Wnt family member 5B,481.1223651310497,-1.1202035260359033,0.2463341692831411,-4.547495498881929,5.428808103001711e-6,0.0038557311197436857,235,663,314,671,320,706
ENSG00000127318,IL22,50616,interleukin 22,394.2873799349536,1.8824647486538646,0.41296386059491286,4.55842490900293,5.153868507140081e-6,0.0038557311197436857,1118,131,384,234,390,154
ENSG00000106665,CLIP2,7461,CAP-Gly domain containing linker protein 2,384.92985592383695,-0.6689781839059871,0.1482796732464537,-4.511597370423708,6.434123478069625e-6,0.00431586704856737,309,539,272,474,285,459
ENSG00000162614,NEXN,91624,nexilin F-actin binding protein,548.8996587997376,1.5956775659193196,0.35511775702571674,4.493375885463719,7.01028859371919e-6,0.004454853920029763,1016,417,431,203,984,242
ENSG00000117228,GBP1,2633,guanylate binding protein 1,7788.077710651289,0.7510575189547535,0.17046791503797631,4.405858538173797,1.053657123987539e-5,0.006360928057512773,11809,7851,7559,5326,9384,5066
ENSG00000158109,TPRG1L,127262,tumor protein p63 regulated 1 like,824.6437752995212,-0.4664286169344942,0.10774350875243148,-4.329064667888572,1.4974396171405859e-5,0.008218220880616108,773,1077,625,978,628,925
ENSG00000163513,TGFBR2,7048,transforming growth factor beta receptor 2,673.6444129925615,-0.6517920673714095,0.15046607508169066,-4.331820757719242,1.4788131108837659e-5,0.008218220880616108,596,968,496,740,443,857
ENSG00000072506,HSD17B10,3028,hydroxysteroid 17-beta dehydrogenase 10,166.8813159922368,1.1170157457814331,0.25866258875124953,4.318427922546016,1.5714452390760424e-5,0.008249404268088754,292,125,160,106,223,98
ENSG00000113356,POLR3G,10622,RNA polymerase III subunit G,473.85316266926543,1.2138733038772267,0.2828823331584044,4.291089126437243,1.7779893085102488e-5,0.008944767879563643,884,417,451,213,629,269
ENSG00000165949,IFI27,3429,interferon alpha inducible protein 27,505.1674441439517,1.0351359487811844,0.24179058895335231,4.281125883608683,1.8595012710664787e-5,0.008980647338742665,606,295,617,407,736,322
ENSG00000049249,TNFRSF9,3604,TNF receptor superfamily member 9,7412.7598046427,-0.7209079040389038,0.17000755704675657,-4.240446228167581,2.23075871448578e-5,0.009007906636096139,7072,12392,4395,8678,5062,7925
ENSG00000108106,UBE2S,27338,ubiquitin conjugating enzyme E2 S,4055.7969382450815,0.4985639071082701,0.11738219273029188,4.24735554441223,2.163085445072383e-5,0.009007906636096139,5795,3989,3965,3223,4226,3278
ENSG00000122643,NT5C3A,51251,"5'-nucleotidase, cytosolic IIIA",1004.0071300313855,0.8369188683641383,0.19724614964096907,4.243017518402833,2.2053421282852242e-5,0.009007906636096139,1527,945,969,600,1287,712
ENSG00000136830,NIBAN2,64855,niban apoptosis regulator 2,1704.1247323568928,0.5331477075029873,0.12510948789859455,4.261449043218221,2.031056681783378e-5,0.009007906636096139,2444,1673,1661,1375,1827,1303
ENSG00000234964,NA,NA,NA,392.5907214894687,1.2500751472748755,0.29484981928695025,4.239701249598841,2.2381745824323685e-5,0.009007906636096139,625,339,488,142,506,249
ENSG00000114738,MAPKAPK3,7867,MAPK activated protein kinase 3,4781.524433348605,0.5229583610152422,0.12403045840278806,4.216370460527837,2.4826579162610403e-5,0.009372895528393538,6693,4408,4499,3799,5378,4003
ENSG00000116852,KIF21B,23046,kinesin family member 21B,6784.418703871027,0.4212896977300867,0.1000069331380846,4.212604911585387,2.524423992610993e-5,0.009372895528393538,9167,6309,6600,5857,7050,5865
ENSG00000136026,CKAP4,10970,cytoskeleton associated protein 4,988.586903325968,0.6039247214534672,0.14347426302166796,4.2092895877936,2.5617488192561435e-5,0.009372895528393538,1331,864,947,821,1211,757
ENSG00000171208,NETO2,81831,neuropilin and tolloid like 2,461.1927031744899,0.9013016214278268,0.21687368238104193,4.155882869385051,3.240338101911644e-5,0.011507012424259173,597,293,514,332,633,367
ENSG00000070366,SMG6,23293,SMG6 nonsense mediated mRNA decay factor,729.6287274608171,-0.569696963226699,0.13812947114260973,-4.124369394265789,3.7175186453195164e-5,0.012131167600969687,623,965,596,899,494,849
ENSG00000158457,TSPAN33,340348,tetraspanin 33,1564.7314328970992,-0.6403662285865374,0.15513947607703424,-4.127680747539489,3.664403774595079e-5,0.012131167600969687,1391,2039,1181,2258,1011,1641
ENSG00000166900,STX3,6809,syntaxin 3,426.18016638559766,0.7045881903176174,0.17052712771120038,4.1318246532064205,3.598949247591844e-5,0.012131167600969687,631,402,437,293,485,318
ENSG00000138795,LEF1,51176,lymphoid enhancer binding factor 1,7848.5758436206925,-0.41354806357470875,0.10095594359811803,-4.096322106808755,4.19765774645398e-5,0.013337505165969831,7702,10965,6089,8508,5938,8545
ENSG00000137076,TLN1,7094,talin 1,100.80998230111686,-1.201441914370539,0.2968692328913424,-4.047040855898599,5.186919071777514e-5,0.016034910893370898,76,157,52,169,52,113
ENSG00000169245,CXCL10,3627,C-X-C motif chemokine ligand 10,4426.210527840775,1.0283210801199747,0.2544437116338464,4.041448198962628,5.312211659225077e-5,0.016034910893370898,7416,2613,3628,2951,6478,3407
