gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,D1_B7C2_bead,D1_B7_bead,D2_B7C2_bead,D2_B7_bead,D3_B7C2_bead,D3_B7_bead
ENSG00000166900,STX3,6809,syntaxin 3,594.2102987984089,1.0436313943665416,0.13180748581855634,7.917846151797362,2.4166011723338383e-15,2.494657390200221e-11,863,415,640,383,823,418
ENSG00000099985,OSM,5008,oncostatin M,3408.75324344349,1.7459243577940728,0.22673646873686312,7.700236170742736,1.3581497772567609e-14,7.010090075310771e-11,6873,1654,3074,1429,5579,1823
ENSG00000071909,MYO3B,140469,myosin IIIB,629.3415049511766,1.1927514386578113,0.16476934253890171,7.23891605245803,4.5228485550863306e-13,1.5563121878052063e-9,936,431,657,329,965,443
ENSG00000103257,SLC7A5,8140,solute carrier family 7 member 5,19891.91746731274,0.650818329449709,0.09222863072299264,7.056575863133352,1.7065549097430723e-12,4.404191583319434e-9,25808,16932,18596,15921,26507,15635
ENSG00000158457,TSPAN33,340348,tetraspanin 33,1295.135761794423,-0.8149508466063555,0.1161982861756966,-7.013449797134841,2.3251242035203136e-12,4.800451430588039e-9,901,1815,811,1767,1006,1589
ENSG00000111186,WNT5B,81029,Wnt family member 5B,320.03329037456353,-1.7309255361964055,0.26347709011169285,-6.569548553396555,5.0468036774930106e-11,8.683025727126725e-8,110,488,114,517,210,532
ENSG00000253755,NA,NA,NA,2435.3186670866553,-1.2247812298929592,0.1878397608562921,-6.520351305334047,7.014291210609977e-11,1.0344075452446685e-7,1749,4259,977,3525,1561,2942
ENSG00000147434,CHRNA6,8973,cholinergic receptor nicotinic alpha 6 subunit,1937.1096939577913,-0.7445473280146597,0.11713378033259783,-6.35638434873817,2.0655782228948822e-10,2.6653704993679837e-7,1507,2755,1098,2544,1623,2308
ENSG00000102245,CD40LG,959,CD40 ligand,2550.772920637688,0.7845684539475296,0.1278557087760415,6.13635841104146,8.443454799664922e-10,7.923798536085544e-7,3400,1980,2648,2127,3320,1751
ENSG00000162614,NEXN,91624,nexilin F-actin binding protein,640.7121105337492,1.3730114194216578,0.22343228050788927,6.145089761876093,7.991830734715685e-10,7.923798536085544e-7,848,496,680,303,1184,329
