gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,D1_B7C2_Il8,D1_B7_Il8,D2_B7C2_Il8,D2_B7_Il8,D3_B7C2_Il8,D3_B7_Il8
ENSG00000198910,L1CAM,3897,L1 cell adhesion molecule,1176.283744146442,-1.167976111677035,0.1472112576934081,-7.934013539301046,2.12174951679691e-15,2.0258464386376896e-11,546,1662,872,1957,661,1590
ENSG00000147434,CHRNA6,8973,cholinergic receptor nicotinic alpha 6 subunit,2406.6139183725586,-0.6905412496620097,0.10356586683281352,-6.667652874250076,2.5992665975454743e-11,1.2408898736682093e-7,1526,2994,1985,3578,1735,2934
ENSG00000111186,WNT5B,81029,Wnt family member 5B,454.0618574649712,-1.226194600761934,0.195281069236434,-6.279126827584782,3.404797695678295e-10,1.0836336132778786e-6,194,603,297,698,286,727
ENSG00000253755,NA,NA,NA,3065.1004105865804,-1.1785790505756752,0.19250191380024814,-6.1224277063481125,9.216023547726247e-10,2.1998648208422554e-6,1899,5206,1559,4325,1809,4021
ENSG00000170854,RIOX2,84864,ribosomal oxygenase 2,2420.4016694053184,0.5915717715926283,0.1028465260168485,5.751985939668161,8.82011366992376e-9,1.6842889064086412e-5,2567,2084,2874,2175,2804,1907
ENSG00000158457,TSPAN33,340348,tetraspanin 33,1564.0537815360794,-0.7946588671866409,0.138915196882591,-5.720460288144532,1.0623585718390055e-8,1.690566607319804e-5,1003,1995,1223,2556,1028,1811
ENSG00000169248,CXCL11,6373,C-X-C motif chemokine ligand 11,901.956559014332,2.5873262422288437,0.45735932079937697,5.657097438632475,1.5395436941356498e-8,2.0999375988010264e-5,2170,350,615,194,1420,271
ENSG00000106665,CLIP2,7461,CAP-Gly domain containing linker protein 2,348.40551449320145,-1.5538040265219686,0.2789486831456478,-5.570214596462816,2.5442576748747445e-8,3.0365715349630075e-5,166,622,125,586,204,453
ENSG00000055118,KCNH2,3757,potassium voltage-gated channel subfamily H member 2,257.70451833769823,-2.1151020700081045,0.38291248998115257,-5.5237218041966,3.318928351155085e-8,3.521014210758751e-5,65,478,142,627,74,248
ENSG00000116852,KIF21B,23046,kinesin family member 21B,7138.23488026865,0.4402123400250481,0.08135126350545482,5.411253876782512,6.258496904327699e-8,5.975612844252086e-5,7214,6344,8393,6684,7719,6298
ENSG00000099985,OSM,5008,oncostatin M,1703.140747724771,1.5743434882128915,0.29958189310873246,5.255135655483317,1.4791540366021236e-7,1.2839057037706433e-4,2713,1086,1568,759,2786,875
ENSG00000103257,SLC7A5,8140,solute carrier family 7 member 5,14728.605352906608,0.7466664149994893,0.14708251323793614,5.076513846289825,3.844227964562146e-7,2.823437585049182e-4,17228,11701,15906,12096,18788,11299
ENSG00000138642,HERC6,55008,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6,377.0949804945847,1.825023305650987,0.35899886669696573,5.08364642608052,3.7025689621276737e-7,2.823437585049182e-4,691,205,326,180,604,145
ENSG00000116299,ELAPOR1,57535,endosome-lysosome associated apoptosis and autophagy regulator 1,857.93406935784,-0.9492318257053605,0.18917318892521634,-5.01779259047438,5.226856123034213e-7,3.564715875909333e-4,395,1091,695,1402,592,1126
ENSG00000102245,CD40LG,959,CD40 ligand,2132.1962307228737,0.5464326197251717,0.10963739265135551,4.983998675185712,6.228350585427892e-7,3.744803458840969e-4,2207,1871,2597,2057,2383,1616
ENSG00000165949,IFI27,3429,interferon alpha inducible protein 27,485.2248705973119,1.332204184862845,0.2680057071665597,4.970805282272997,6.66753862592129e-7,3.744803458840969e-4,430,224,779,366,784,294
ENSG00000181827,RFX7,64864,regulatory factor X7,2055.1016097191073,-0.6387874248477721,0.1282953969919449,-4.9790361916716215,6.39016936900917e-7,3.744803458840969e-4,1295,2334,1804,3017,1492,2650
ENSG00000162614,NEXN,91624,nexilin F-actin binding protein,546.7543357524937,1.6871178860179874,0.3407918594135722,4.950581533611589,7.39920499618412e-7,3.924867183531443e-4,668,361,576,207,1092,254
ENSG00000139318,DUSP6,1848,dual specificity phosphatase 6,1381.839172851387,0.8510628256445476,0.17486876053107542,4.866866003166459,1.1338184649671868e-6,5.697736159740368e-4,1711,1181,1732,1157,1582,817
ENSG00000136810,TXN,7295,thioredoxin,4417.437511453532,0.586850958256644,0.12143562180869348,4.832609653707326,1.3475484481560764e-6,6.207370005022627e-4,4975,3574,4958,3965,5037,3729
ENSG00000169245,CXCL10,3627,C-X-C motif chemokine ligand 10,5061.323426728418,1.2840639968048584,0.2658511717949855,4.830010671516169,1.3652573324829825e-6,6.207370005022627e-4,7386,2288,5052,3426,7551,3680
ENSG00000136830,NIBAN2,64855,niban apoptosis regulator 2,1771.8190827317003,0.6113013670988767,0.12752576206305463,4.793551963223094,1.6385399239280975e-6,6.882464421321592e-4,2031,1521,2025,1584,1991,1372
ENSG00000173457,PPP1R14B,26472,protein phosphatase 1 regulatory inhibitor subunit 14B,4514.266949383733,0.5055892897632854,0.10552466081434086,4.791195592211518,1.657904081382453e-6,6.882464421321592e-4,4877,3820,5201,4082,4913,3996
ENSG00000214530,STARD10,10809,StAR related lipid transfer domain containing 10,1464.6481519298245,-0.5907530941723006,0.12459314573361749,-4.741457410790012,2.121862663356584e-6,8.441476962386944e-4,1054,2034,1234,1934,1033,1653
ENSG00000049249,TNFRSF9,3604,TNF receptor superfamily member 9,7866.482985545874,-0.769587430241231,0.1636839017471479,-4.701668411045442,2.5804430626413594e-6,9.85522814483988e-4,5652,12270,5352,10076,5389,9265
ENSG00000135074,ADAM19,8728,ADAM metallopeptidase domain 19,19346.762591906234,0.8226589071214103,0.17645594541260834,4.662120651122185,3.1296761374762227e-6,0.0011067462133564064,22303,12875,21040,15339,26210,16315
ENSG00000196693,ZNF33B,7582,zinc finger protein 33B,1129.4436606323522,-0.5381157369451807,0.11542281985948434,-4.662126064848202,3.129593789021945e-6,0.0011067462133564064,759,1322,1029,1539,841,1411
ENSG00000117228,GBP1,2633,guanylate binding protein 1,7994.093998839244,0.7541607873900471,0.1635734944101238,4.610531737490172,4.0164031474180775e-6,0.0013695934732695645,9758,7259,9015,6063,9484,5647
ENSG00000071909,MYO3B,140469,myosin IIIB,474.93398644818654,1.2109114352495722,0.2630760071188138,4.602895750590759,4.1665681586432995e-6,0.0013718066475422836,623,242,559,278,682,389
ENSG00000174442,ZWILCH,55055,zwilch kinetochore protein,609.5415509671474,0.9255948213647741,0.20299693887307113,4.559649157781267,5.123915236598248e-6,0.001630771422634669,670,336,902,501,708,505
ENSG00000115419,GLS,2744,glutaminase,6087.163751407162,0.5186809158244503,0.11471289806481359,4.521557074875678,6.13864030886553e-6,0.0016746210762585165,6623,5417,6833,5303,6805,5231
ENSG00000115758,ODC1,4953,ornithine decarboxylase 1,1137.595695159029,0.5815888122768824,0.1279578833928337,4.545158116529571,5.489403056374004e-6,0.0016746210762585165,1270,883,1354,1071,1237,957
ENSG00000135052,GOLM1,51280,golgi membrane protein 1,202.19303102971116,0.9360208938628691,0.20688537278156519,4.5243454444270625,6.058270507973171e-6,0.0016746210762585165,215,140,318,165,228,139
ENSG00000166900,STX3,6809,syntaxin 3,456.54769301267334,0.8144037114088829,0.17987591250536097,4.527586268031361,5.966124739545697e-6,0.0016746210762585165,512,397,555,363,580,297
ENSG00000196421,C20orf204,284739,chromosome 20 open reading frame 204,1496.7669630166424,-0.7134666088779955,0.15778862468160082,-4.521660609677589,6.135637949363296e-6,0.0016746210762585165,807,1992,1218,2046,1214,1896
ENSG00000108561,C1QBP,708,complement C1q binding protein,6142.382747485819,0.6319646994172196,0.14054183165246315,4.4966305902428,6.903878312340874e-6,0.0018310619479508519,7228,5605,6967,5038,6862,4719
ENSG00000115687,PASK,23178,PAS domain containing serine/threonine kinase,5931.060077714097,-0.5239513609692467,0.11717758586198539,-4.4714298994550825,7.769832938242757e-6,0.002005036889036266,4244,7040,5453,8682,4178,6681
ENSG00000070756,PABPC1,26986,poly(A) binding protein cytoplasmic 1,2174.656774381142,-0.5409772813553505,0.12143833724397786,-4.454748752599357,8.399149576762596e-6,0.002080215781137747,1420,2684,2095,2792,1559,2744
ENSG00000101003,GINS1,9837,GINS complex subunit 1,1466.30057840574,0.45581929746627914,0.10250437721538402,4.446827636526229,8.714770763040416e-6,0.002080215781137747,1502,1343,1810,1403,1511,1204
ENSG00000171208,NETO2,81831,neuropilin and tolloid like 2,462.15989062654336,0.9439766102708238,0.2121687201815339,4.4491789810635,8.619916264495566e-6,0.002080215781137747,481,257,622,410,627,345
ENSG00000239672,NME1,4830,NME/NM23 nucleoside diphosphate kinase 1,2931.563190496491,0.8140003658049466,0.18343049912502427,4.437650061945983,9.094631580274316e-6,0.002117940056791687,3779,2632,3392,2025,3345,2107
ENSG00000172349,IL16,3603,interleukin 16,6503.207544765322,-0.7481154034329147,0.168847294997059,-4.4307218747327015,9.391815772220105e-6,0.002135072785551371,3657,8709,6413,9471,3939,7881
ENSG00000136026,CKAP4,10970,cytoskeleton associated protein 4,1059.0152570412606,0.661759209019842,0.14953035691955924,4.4255843606114,9.61815592798011e-6,0.002135677972101258,1175,789,1197,931,1292,897
ENSG00000163584,RPL22L1,200916,ribosomal protein L22 like 1,1224.771420072638,0.6904075758735456,0.15840229784687396,4.358570457992701,1.309147759972589e-5,0.002840850639140518,1201,845,1537,1098,1562,1049
ENSG00000136732,GYPC,2995,glycophorin C (Gerbich blood group),9403.405991409774,-0.40317541899218157,0.09357826660766014,-4.308430083264423,1.6441743371002792e-5,0.0034885725712518814,6470,11346,9066,11823,7595,11003
ENSG00000119139,TJP2,9414,tight junction protein 2,3585.683985228009,-0.5005368540914633,0.11649572803502074,-4.296611236602537,1.7342895908936184e-5,0.0035997819595331017,2394,4109,3461,4889,2644,4423
ENSG00000089127,OAS1,4938,2'-5'-oligoadenylate synthetase 1,1698.7670962073487,1.1589027078858793,0.2707803263292974,4.279863029917955,1.8700836775897044e-5,0.0037990550965162763,2239,1554,2454,1116,1962,692
ENSG00000138795,LEF1,51176,lymphoid enhancer binding factor 1,7955.71895903295,-0.486594581079936,0.11421440031511625,-4.260361037990192,2.0409694637245698e-5,0.0040598284249254565,5989,10813,6935,9617,5893,9166
ENSG00000120738,EGR1,1958,early growth response 1,3100.3019604392716,1.5712694451220917,0.37213210919827394,4.222343104192901,2.417756923963441e-5,0.004639025217670755,5902,2341,4350,1783,2736,883
ENSG00000155966,AFF2,2334,ALF transcription elongation factor 2,288.2087544290669,-0.9321448519841885,0.22082104869689415,-4.221268114996047,2.429317772135921e-5,0.004639025217670755,140,438,254,410,177,360
ENSG00000116663,FBXO6,26270,F-box protein 6,776.2729033771466,0.9183785366661478,0.2181967563415225,4.208946787589719,2.5656379619170672e-5,0.004803276717722384,898,573,792,572,1159,567
ENSG00000127318,IL22,50616,interleukin 22,429.34061044909686,1.9340877278433721,0.46259205685375493,4.180979113644443,2.9025652806136144e-5,0.005228998735716753,980,115,505,317,395,145
ENSG00000163191,S100A11,6282,S100 calcium binding protein A11,8679.255657423742,0.39810246685319517,0.09517255593978238,4.182954454906966,2.8774505418559926e-5,0.005228998735716753,9117,7712,9826,8451,9002,7744
ENSG00000113088,GZMK,3003,granzyme K,247.38153173671867,-1.0470520658039293,0.25083756406062724,-4.174223544727367,2.9900405531692836e-5,0.005286834666974133,174,406,157,325,124,330
ENSG00000187210,GCNT1,2650,glucosaminyl (N-acetyl) transferase 1,1475.566765406993,0.6796966382718612,0.16370413729062427,4.151982042244873,3.2960813120959856e-5,0.0057219971577986304,1636,1029,1652,1319,1839,1272
