"gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score"
"GO:0005125","cytokine activity",8.4e-10,"CCL22,CD40LG,CSF1,CSF2,CXCL10,CXCL11,IFNG,IL13,IL16,IL2,IL23A,IL3,LIF,OSM,WNT5B",15,84,1.42,15,2.84018778721877,1.0360372589797
"GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein",9e-08,"CSF2,IFNG,IL13,IL2,IL23A,IL3,LIF,OSM",8,34,0.59,8,2.82842712474619,1.54077813772953
"GO:0008284","positive regulation of cell population proliferation",2.9e-06,"BCL6,CD40LG,CSF1,CSF2,CTNNB1,CXCL10,EGR1,EGR3,FOSL1,HBEGF,IFNG,IL13,IL2,IL23A,IL3,IRAK1,LBH,LEF1,LIF,MMP12,NAP1L1,NME1,NOLC1,ODC1,OSM,PNP,RPS15A,SLC7A5,SMARCA2,STX3,TMIGD2",31,546,9.52,31,3.05329013445517,0.699262283427509
"GO:0008285","negative regulation of cell population proliferation",4.1e-06,"BCL6,CBLB,CTNNB1,EEF1E1,FOSL1,IFI30,IFNG,IGFBP6,IL2,LIF,NIBAN2,NME1,NTRK1,OSM,PARP10,PDCD4,PTPRK,S100A11,SMARCA2,SMYD2,TNFRSF9,WARS1",22,422,7.36,22,2.1320071635561,0.464823710843632
"GO:0005126","cytokine receptor binding",8.3e-06,"CCL22,CD40LG,CSF1,CSF2,CXCL10,CXCL11,IFNG,IL13,IL2,IL23A,IL3,LIF,NTRK1,OSM",14,144,2.43,14,3.74165738677394,1.30716314255673
"GO:0008083","growth factor activity",1.4e-05,"CSF1,CSF2,HBEGF,IL2,IL3,LIF,OSM",7,48,0.81,7,2.64575131106459,1.43394812978623
"GO:0032740","positive regulation of interleukin-17 production",1.9e-05,"IL2,IL23A,OSM,SLAMF6,SLC7A5",5,20,0.35,5,1.34164078649987,0.776973519713974
"GO:0005615","extracellular space",2.7e-05,"AIFM2,APOL1,ARPC5L,ATP1B3,C1QBP,CCL22,CD40LG,CKAP4,CSF1,CSF2,CTNNB1,CXCL10,CXCL11,DNPEP,ECE1,ELAPOR1,FKBP4,GCNT1,GOT1,HBEGF,HSPE1,IGFBP6,IL13,IL16,IL2,IL23A,IL3,LIF,LRP8,MARS1,MMP12,MYL6B,NIBAN2,NME1,OSM,PNP,PSAT1,PVR,RAN,RPS15A,S100A11,SLAMF6,SLC1A5,SLC26A4,SLC7A5,SQSTM1,STX3,TCN2,TXNDC5,WARS1,WNT5B",51,1726,29.17,51,5.18103631090364,0.652068445000434
"GO:0005912","adherens junction",0.00017,"CTNNB1,NEXN,NIBAN2,PDLIM7,PTPRK,PVR,S100A11,TJP2,TSPAN33",9,118,1.99,9,1.66666666666667,0.337052567499987
"GO:0030687","preribosome, large subunit precursor",0.00025,"BOP1,MRTO4,NOC2L,PPAN",4,19,0.32,4,2,0.585550746194407
"GO:0030225","macrophage differentiation",0.00042,"CSF1,CSF2,IFNG,LIF,TSPAN2",5,37,0.65,5,1.34164078649987,1.03352653578011
"GO:0045087","innate immune response",0.00049,"APOL1,ATAD3A,C1QBP,CCL22,CD96,CSF1,CXCL10,GBP1,IFI27,IFNG,IL23A,IRAK1,ISG20,LRP8,LYAR,MAPKAPK3,MMP12,OAS1,POLR3E,PPP1R14B,PVR,SLAMF6,TRIM28",23,534,9.31,23,3.96177386708442,0.637757820708974
"GO:0030223","neutrophil differentiation",0.00057,"CSF2,EVI2B,LEF1",3,10,0.17,3,-0.577350269189626,0.104615272015797
"GO:0045746","negative regulation of Notch signaling pathway",0.00061,"BCL6,CHAC1,LFNG,NIBAN2",4,23,0.4,4,1,0.396938135932483
"GO:0007517","muscle organ development",0.00063,"CTNNB1,CXCL10,EGR1,EGR2,EGR3,HBEGF,LEF1,LIF,MYL6B,NIBAN2,NLN,PAX5,STRA6",13,184,3.21,13,1.9414506867883,0.572229690922931
"GO:0072210","metanephric nephron development",0.00078,"CTNNB1,EGR1,LIF",3,11,0.19,3,1.73205080756888,1.08637620844174
"GO:0001818","negative regulation of cytokine production",0.00081,"BCL6,C1QBP,CD96,GBP1,IFNG,IL13,IL23A,LEF1,OAS1,PDCD4",10,171,2.98,10,0.632455532033676,0.37799911176683
"GO:0032735","positive regulation of interleukin-12 production",0.00099,"CD40LG,IFNG,IL16,IL23A",4,26,0.45,4,1,0.714145863156999
"GO:0009612","response to mechanical stimulus",0.00099,"CSF1,CTNNB1,CXCL10,FOSL1,IL13,NTRK1,STRA6,TXNIP",8,117,2.04,8,2.12132034355964,0.728035567138914
"GO:0030331","nuclear estrogen receptor binding",0.001,"CTNNB1,LEF1,NCOA1,PPID",4,27,0.46,4,0,-0.0232069640065152
"GO:0060669","embryonic placenta morphogenesis",0.00131,"LEF1,NCOA1,TRIM28",3,13,0.23,3,-0.577350269189626,-0.165446218987805
"GO:0071396","cellular response to lipid",0.00133,"CALCOCO1,CNOT2,CSF2,CXCL10,CXCL11,FBXO32,FKBP4,IRAK1,LBH,LRP8,PDCD4,RAN,SLC7A5,TRERF1,WNT5B",15,354,6.17,15,0.258198889747161,0.143727745481675
"GO:0042306","regulation of protein import into nucleus",0.00142,"IFNG,NOLC1,PKIG,RAN,TRIM28",5,48,0.84,5,1.34164078649987,0.518669167367423
"GO:0031528","microvillus membrane",0.00151,"CTNNB1,SLC6A6,SLC7A5",3,14,0.24,3,1.73205080756888,0.420790717659845
"GO:0002903","negative regulation of B cell apoptotic process",0.00165,"BCL6,IL2,NOC2L",3,14,0.24,3,0.577350269189626,0.193383404561921
"GO:0045672","positive regulation of osteoclast differentiation",0.00165,"CSF1,IFNG,IL23A",3,14,0.24,3,1.73205080756888,1.20494201480311
"GO:0032649","regulation of type II interferon production",0.00168,"C1QBP,CD96,IL2,IL23A,SLAMF6,SLC7A5",6,73,1.27,6,0.816496580927726,0.273469281707489
"GO:0032481","positive regulation of type I interferon production",0.00171,"DHX33,IRAK1,MMP12,OAS1,ZBTB20",5,50,0.87,5,1.34164078649987,0.494014985152009
"GO:0000122","negative regulation of transcription by RNA polymerase II",0.0019,"BCL6,C1QBP,CNOT2,CTNNB1,EGR1,HIVEP1,IFI27,IFNG,LEF1,LYAR,MMP12,NOC2L,PAX5,PKIG,PPID,SMARCA2,SMYD2,SQSTM1,TRIM28,TXNIP,ZBTB20,ZBTB32",22,645,11.25,22,0,0.110585514191943
"GO:0008483","transaminase activity",0.0019,"GOT1,GPT2,PSAT1",3,15,0.25,3,1.73205080756888,0.536938927384619
"GO:0030593","neutrophil chemotaxis",0.00242,"C1QBP,CCL22,CXCL10,CXCL11,IL23A",5,54,0.94,5,2.23606797749979,1.00461529749388
"GO:0072348","sulfur compound transport",0.00247,"SLC26A4,SLC35F3,SLC6A6,SLC7A5",4,33,0.58,4,2,0.833879074051114
"GO:0045591","positive regulation of regulatory T cell differentiation",0.00247,"BCL6,IFNG,IL2",3,16,0.28,3,0.577350269189626,0.684093634829812
