"gs_id","gs_description","gs_pvalue","gs_genes","gs_de_count","gs_bg_count","Expected","DE_count","z_score","aggr_score"
"GO:0005125","cytokine activity",1.3e-05,"CD40LG,CSF1,CXCL10,CXCL11,CXCL9,IFNG,IL16,IL22,LIF,OSM,WNT5B",11,79,1.41,11,2.11057941204435,1.04941849671259
"GO:0005615","extracellular space",6.9e-05,"ANXA2,APOL1,ATP1B3,C1QBP,CCT4,CD40LG,CHID1,CKAP4,CRTC2,CSF1,CXCL10,CXCL11,CXCL9,ELAPOR1,EPHX2,FH,FIGNL1,FKBP4,GCNT1,GOLM1,HSPD1,HSPH1,IGFBP6,IL16,IL22,LIF,MMP12,MVB12B,MYL6B,NCKAP1,NIBAN2,NME1,OSM,PA2G4,PABPC1,PSAT1,RAN,RUVBL2,S100A11,SEMA3A,SLC7A5,SQSTM1,STX3,TCN2,TPM4,TUFM,TXN,TXNDC5,UBASH3A,WARS1,WNT5B",51,1700,30.29,51,4.34086826048683,0.533378469438776
"GO:0051607","defense response to virus",7.2e-05,"C1QBP,CXCL10,CXCL9,DDX60,GBP1,IFI27,IFI6,IFNG,ISG20,MMP12,MX2,OAS1,POLR3G,UNC93B1",14,231,4.18,14,3.74165738677394,1.21773781344631
"GO:0032735","positive regulation of interleukin-12 production",8.7e-05,"CD40LG,HSPD1,IFNG,IL16,UNC93B1",5,26,0.47,5,1.34164078649987,0.63673027521625
"GO:0045087","innate immune response",0.00012,"APOL1,C1QBP,CD96,CHID1,CSF1,CXCL10,DDX60,GBP1,GCH1,GZMB,HSPD1,IFI27,IFI6,IFNG,ISG20,LAG3,LYAR,MAPKAPK3,MMP12,MX2,NOP53,OAS1,POLR3G,PPP1R14B,UNC93B1",25,534,9.66,25,4.2,0.791241860244218
"GO:0001522","pseudouridine synthesis",0.00016,"GAR1,NHP2,PUS1,TRUB1",4,16,0.29,4,2,0.509359852123775
"GO:0098586","cellular response to virus",0.00021,"CXCL10,EIF5A,IFI6,IFNG,MMP12,OAS1",6,48,0.87,6,2.44948974278318,1.40338845211807
"GO:0002763","positive regulation of myeloid leukocyte differentiation",0.00049,"CSF1,EVI2B,IFNG,LEF1,LIF",5,37,0.67,5,0.447213595499958,0.578944038421206
"GO:0010628","positive regulation of gene expression",0.00052,"ADAM19,ANXA2,C1QBP,CALCOCO1,CD40LG,CEBPB,CSF1,DHX33,EGR1,EIF5A,EPHX2,EXOSC3,FRMD8,HSPD1,IFNG,IL16,LEF1,LIF,MMP12,NIBAN2,NOC2L,OAS1,OSM,PABPC1,PASK,PINK1,POLR3G,SLC7A5,SSB,TMIGD2,TRUB1,UNC93B1,VSIR,WARS1",34,725,13.12,34,2.40098019199512,0.431967190379928
"GO:0017017","MAP kinase tyrosine/serine/threonine phosphatase activity",6e-04,"DUSP1,DUSP2,DUSP6",3,10,0.18,3,1.73205080756888,0.776985133209251
"GO:0043388","positive regulation of DNA binding",0.00063,"IFNG,NIBAN2,NME1,PLAUR,TXN",5,39,0.71,5,2.23606797749979,0.993260751253378
"GO:0015872","dopamine transport",0.00085,"CHRNA6,PINK1,SLC29A4",3,11,0.2,3,-1.73205080756888,-0.862448712917415
"GO:0051019","mitogen-activated protein kinase binding",9e-04,"DUSP1,DUSP2,GCH1,MAPKAPK3",4,25,0.44,4,2,0.638859222309021
"GO:0006596","polyamine biosynthetic process",0.00112,"AMD1,ODC1,SRM",3,12,0.22,3,1.73205080756888,0.689269101872438
